"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households"
" -> Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","","","","","","","","","","","","","","","","","","","",""
" -> Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area -> BOXHEAD1","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","831,347","","39,012","324,375","286,248","181,712","","","252,964","117,532","95,902","46,289","12,445","6,825","","157,857","246,725","","299,390"
"        Margin of Error","","±5,522","","±3,382","±5,897","±5,585","±3,611","","","±7,522","±6,168","±5,735","±4,672","±2,078","±1,707","","±7,973","±6,920","","±9,451"
" -> Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area -> BOXHEAD2","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","831,347","","4.7%","39.0%","34.4%","21.9%","","","47.6%","22.1%","18.0%","8.7%","2.3%","1.3%","","29.7%","46.4%","","299,390"
"        Margin of Error","","±5,522","","±0.4","±0.6","±0.7","±0.4","","","±1.1","±1.1","±1.1","±0.8","±0.4","±0.3","","±1.3","±1.3","","±9,451"
" -> Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area -> BOXHEAD3","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","80,034","","45,597","85,269","97,309","58,342","","","85,853","105,253","116,585","115,491","103,481","115,551","","69,409","118,817","","51,596"
"        Margin of Error","","±1,660","","±8,303","±1,869","±3,856","±1,919","","","±3,001","±4,373","±4,587","±6,075","±8,193","±19,334","","±3,203","±2,608","","±1,481"
